,x,y,samples
0,-4.479806455349704,-9.5342024621392,(by Bio. Rep.): Sample- A
1,-5.5225582810100295,7.117861057904225,(by Bio. Rep.): Sample- A
2,13.309530315587471,-2.056593877809704,(by Bio. Rep.): Sample- A
3,-8.723213890553646,-6.546485825301279,(by Bio. Rep.): Sample- B
4,-5.260250633148608,9.948260419928648,(by Bio. Rep.): Sample- B
5,12.666910677358851,0.37111083138182877,(by Bio. Rep.): Sample- B
6,-9.12548701048039,-5.967177843447259,(by Bio. Rep.): Sample- C
7,-5.886254616475209,10.646343175304938,(by Bio. Rep.): Sample- C
8,11.989957584470579,1.019745222546091,(by Bio. Rep.): Sample- C
9,-7.911813479184832,-9.612877950353882,(by Bio. Rep.): Cntrol
10,-4.35551244630109,7.190149616712092,(by Bio. Rep.): Cntrol
11,13.298498235086624,-2.5761323647265,(by Bio. Rep.): Cntrol
